x,y,class
-0.52017,0.095742,1
-0.75336,0.88547,1
-0.63218,-0.16451,1
-0.52009,0.9661,1
-0.16547,-0.39709,1
-0.90069,0.4022,1
0.80543,0.33268,1
0.88957,0.078253,1
-0.018272,0.39621,1
-0.021495,0.33306,1
-0.32456,-0.64374,1
0.80011,-0.74397,1
-0.26151,0.99816,1
-0.77759,-0.65776,1
0.5605,-0.9348,1
-0.22052,0.1224,1
-0.51662,0.76373,1
-0.19218,0.33835,1
-0.80709,-0.61913,1
-0.73605,-0.26217,1
0.8841,-0.078548,1
0.91227,0.96328,1
0.15042,-0.68719,1
-0.88044,0.71105,1
-0.53044,0.28953,1
-0.29368,-0.24746,1
0.64239,-0.61815,1
-0.96919,-0.14349,1
-0.91395,-0.035956,1
-0.66202,-0.75878,1
0.29823,0.17901,1
0.46344,-0.54762,1
0.29549,-0.23076,1
-0.098153,0.16597,1
0.094018,-0.49639,1
-0.40736,-0.41912,1
0.48939,0.23418,1
-0.62209,-0.46944,1
0.37355,0.64875,1
-0.63298,0.96533,1
-0.26303,0.4605,1
0.25124,-0.31225,1
0.56045,0.16814,1
-0.83775,-0.78446,1
0.85877,0.81262,1
0.55143,0.75931,1
-0.026417,0.63552,1
-0.12828,-0.47854,1
-0.10643,0.18871,1
-0.3873,-0.95497,1
0.017017,-0.14948,1
0.021543,-0.37456,1
0.63526,-0.67703,1
0.58966,-0.64247,1
1.3375,-1.4755,-1
0.29895,-1.6339,-1
-0.1743,-1.9561,-1
1.5376,1.1589,-1
0.88342,-1.0585,-1
-1.9255,-0.20792,-1
-0.24596,-1.7544,-1
-1.5319,0.56926,-1
1.2587,-1.1149,-1
-0.70058,1.3482,-1
-1.0151,1.8843,-1
-0.62915,1.3855,-1
-0.41671,-1.0523,-1
-0.40748,1.8294,-1
1.8037,-1.3096,-1
0.88939,-1.6386,-1
1.3275,1.4343,-1
-1.4626,1.6443,-1
-1.7581,0.79854,-1
-1.663,0.90073,-1
-1.3444,-1.0805,-1
-0.79309,1.2425,-1
-1.9533,-0.38463,-1
0.15962,1.9538,-1
-1.6185,-1.64,-1
-1.4139,-0.71624,-1
1.4373,-1.7576,-1
1.8969,0.90275,-1
1.9874,0.11744,-1
0.21417,1.3199,-1
0.061834,1.435,-1
-0.67727,1.1561,-1
-1.7159,1.0089,-1
1.551,-1.5606,-1
-1.7415,-1.561,-1
1.3065,0.098549,-1
-0.42186,1.8906,-1
1.2746,-0.75256,-1
1.5449,-0.83417,-1
1.7244,1.4014,-1
-1.2369,1.6466,-1
1.5915,-0.97852,-1
0.37345,-1.6453,-1
0.01536,1.353,-1
1.2777,1.7924,-1
0.12756,-1.7559,-1
-1.1917,0.33857,-1
-0.28836,1.3109,-1
1.8642,-1.2361,-1
0.88066,1.3063,-1
0.067962,-1.1696,-1
-1.374,-1.4648,-1
-0.29418,-1.3209,-1
1.3451,-1.4094,-1
-0.55988,1.6324,-1
-0.45444,-1.8682,-1
1.1022,-1.7845,-1
0.93708,1.2203,-1
1.7809,1.1586,-1
1.1369,-0.54285,-1
-1.5627,0.84663,-1
-0.44028,1.4859,-1
-1.7986,1.8993,-1
-1.0852,-1.6961,-1
1.3368,0.34808,-1
-1.9374,-0.34445,-1
1.4548,-0.76345,-1
-1.6877,-0.94466,-1
0.67617,1.0351,-1
0.000845,1.9809,-1
-1.128,-1.2537,-1
0.28646,1.1246,-1
-1.5112,-1.2168,-1
0.68466,1.9694,-1
0.39834,1.209,-1
-1.7761,-0.30309,-1
-1.7746,0.91546,-1
-1.39,-0.006586,-1
-1.9215,1.236,-1
1.3289,-1.707,-1
0.080518,1.6408,-1
1.4555,-1.2249,-1
-1.6092,-0.27053,-1
1.6322,0.99664,-1
-1.5679,-1.8433,-1
0.067987,1.7853,-1
-1.4274,1.0547,-1
-1.9817,-1.2646,-1
1.0667,-0.008205,-1
1.3948,0.071382,-1
1.6673,1.977,-1
1.9479,1.4194,-1
0.020532,1.8496,-1
-1.597,-0.38599,-1
0.031395,1.7399,-1
1.0515,-1.0728,-1
-1.6681,-0.41484,-1
-1.3158,1.0265,-1
1.7542,1.9819,-1
0.36193,1.8497,-1
1.7677,1.8555,-1
0.62366,-1.5375,-1
-0.19222,-1.7942,-1
1.3588,-0.7826,-1
0.72026,1.6048,-1
-1.0428,-0.27208,-1
1.4675,0.84966,-1
-0.37289,-1.9333,-1
-1.5495,1.2037,-1
-0.22462,-1.43,-1
1.3335,-0.52363,-1
-0.4393,-1.3216,-1
-1.439,-1.2071,-1
-0.95948,-1.2197,-1
-1.6527,-0.69264,-1
-0.28241,1.5214,-1
-0.30057,-1.2831,-1
-1.5232,1.8757,-1
0.82563,1.3779,-1
-1.0257,0.4613,-1
1.1403,-0.49356,-1
-1.7036,1.5087,-1
-0.42447,1.1394,-1
-1.9864,-0.14018,-1
-1.1173,1.2559,-1
-1.9948,1.5938,-1
-1.2433,-0.28305,-1
-1.4301,-0.66268,-1
-1.3004,1.608,-1
-1.4454,0.80827,-1
1.6042,0.93982,-1
1.7575,1.8164,-1
-1.1153,0.17125,-1
0.09512,-1.7151,-1
-0.94051,-1.2721,-1
-1.7266,-1.628,-1
-1.3046,-1.9627,-1
-1.8956,1.6601,-1
1.8187,0.57097,-1
-0.27761,-1.9943,-1
1.8462,-1.8785,-1
1.0497,-1.1661,-1
-1.9706,-0.18014,-1
0.72015,-1.4909,-1
0.8238,-1.9654,-1
-1.1276,1.1218,-1
1.0895,-0.25337,-1
-1.0879,-0.25378,-1
-0.51654,-1.8031,-1
1.5637,-1.8015,-1
1.4255,-1.6356,-1
-0.72792,-1.0357,-1
0.43454,1.3655,-1
1.6408,1.4289,-1
1.6364,1.8544,-1
-0.66971,-1.1188,-1
1.4123,-1.0952,-1
1.6174,1.0484,-1
-1.8673,-0.60973,-1
-1.2828,1.6693,-1
-0.65387,-1.3537,-1
-1.2491,0.86254,-1
0.19427,1.537,-1
-1.805,-0.42779,-1
0.21093,-1.2841,-1
-1.034,0.496,-1
-1.0274,-0.68823,-1
-1.3834,1.2119,-1
1.8257,1.9979,-1
1.7426,1.9239,-1
1.2749,-1.4919,-1
0.91305,-1.071,-1
-1.2968,-1.9055,-1
-1.2448,-1.5568,-1
-1.9952,-0.37016,-1
-0.73432,1.5363,-1
0.17225,-1.1666,-1
-0.85029,1.8248,-1
0.006636,-1.5039,-1
1.0462,-0.11695,-1
1.0496,1.4276,-1
0.30422,-1.8264,-1
0.58214,1.9159,-1
-1.5071,-0.86693,-1
0.017591,-1.4649,-1
-1.6314,1.6378,-1
-1.4086,0.44348,-1
-1.2073,1.5999,-1
0.68908,-1.2263,-1
-0.27396,1.0177,-1
-1.961,-1.3771,-1
0.12913,1.276,-1
1.7849,0.95424,-1
1.6258,1.2204,-1
-0.42926,-1.7311,-1
-1.9006,1.8032,-1
1.3487,1.0206,-1
1.886,0.96962,-1
-1.7723,1.3245,-1
-0.1987,-1.374,-1
