x1,x2,class
0.7002,0.8793,1
0.3156,0.9885,1
0.7829,0.6493,1
0.1807,0.3787,0
0.0244,0.7313,0
0.7764,0.92,1
0.4129,0.4954,0
0.4806,0.1808,0
0.2468,0.4734,0
0.3728,0.0714,0
0.8405,0.9163,1
0.8804,0.5118,1
0.2421,0.2546,0
0.6968,0.4046,1
0.2684,0.9592,1
0.4408,0.6571,1
0.0963,0.7693,0
0.2991,0.1145,0
0.964,0.264,1
0.4167,0.8113,1
0.9222,0.7587,1
0.6265,0.4232,1
0.7024,0.6896,1
0.5545,0.6876,1
0.3817,0.1828,0
0.4538,0.0122,0
0.9073,0.0283,0
0.679,0.1015,0
0.1173,0.8431,0
0.3699,0.1035,0
0.8477,0.3207,1
0.2748,0.7299,0
0.4379,0.3659,0
0.318,0.5102,0
0.1256,0.2588,0
0.64,0.5771,1
0.6956,0.4676,1
0.9301,0.7311,1
0.7795,0.1049,0
0.3201,0.9797,1
0.6068,0.4154,1
0.1411,0.7948,0
0.0057,0.4309,0
0.4207,0.8106,1
0.8943,0.4847,1
0.1559,0.539,0
0.3106,0.0109,0
0.9609,0.6053,1
0.9679,0.2297,1
0.8548,0.6901,1
0.8917,0.517,1
0.3389,0.1963,0
0.8748,0.839,1
0.2693,0.0975,0
0.7899,0.2709,1
0.5592,0.4455,0
0.0622,0.5739,0
0.6088,0.1073,0
0.7589,0.1105,0
0.9573,0.016,0
0.0693,0.4254,0
0.2174,0.3005,0
0.7476,0.272,0
0.671,0.6557,1
0.5669,0.7661,1
0.1482,0.9105,1
0.9695,0.479,1
0.9923,0.874,1
0.3034,0.0831,0
0.0538,0.6741,0
0.9613,0.7399,1
0.4285,0.385,0
0.2157,0.6589,0
0.3119,0.0194,0
0.9345,0.5983,1
0.9729,0.3344,1
0.0895,0.1141,0
0.9656,0.668,1
0.6125,0.5431,1
0.8013,0.1774,0
0.9387,0.3959,1
0.0781,0.4922,0
0.9503,0.4379,1
0.2421,0.6354,0
0.2172,0.1527,0
0.1095,0.9293,1
0.5391,0.8702,1
0.2535,0.2656,0
0.8355,0.5091,1
0.0985,0.4904,0
0.7932,0.0415,0
0.5613,0.4047,0
0.0006,0.3785,0
0.5332,0.1669,0
0.2122,0.8495,1
0.5866,0.6528,1
0.4621,0.5188,0
0.6886,0.721,1
0.2453,0.0812,0
0.9374,0.9277,1
0.6871,0.034,0
0.9305,0.2265,1
0.4179,0.4998,0
0.8139,0.1423,0
0.4401,0.2522,0
0.7625,0.9082,1
0.0088,0.5377,0
0.995,0.8585,1
0.0751,0.5233,0
0.1696,0.8496,0
0.5142,0.2384,0
0.7791,0.1158,0
0.3588,0.6472,0
0.2934,0.1076,0
0.1521,0.2855,0
0.9053,0.0984,0
0.2728,0.2863,0
0.3419,0.9124,1
0.0499,0.5138,0
0.2046,0.2648,0
0.5237,0.3425,0
0.2373,0.4914,0
0.592,0.7919,1
0.813,0.2568,1
0.3864,0.6187,0
0.7829,0.996,1
0.715,0.0135,0
0.9997,0.4588,1
0.0203,0.5209,0
0.6592,0.8773,1
0.5329,0.1513,0
0.9572,0.1852,1
0.6953,0.9299,1
0.4675,0.7842,1
0.2966,0.1596,0
0.4208,0.9367,1
0.3962,0.0654,0
0.1035,0.3805,0
0.4782,0.692,1
0.7761,0.0279,0
0.4728,0.8874,1
0.3191,0.9166,1
0.3872,0.4385,0
0.7063,0.2282,0
0.8974,0.6091,1
0.7551,0.9254,1
0.1357,0.6356,0
0.1174,0.0548,0
0.0954,0.9922,1
0.2725,0.2956,0
0.0499,0.2401,0
0.1653,0.3859,0
0.9693,0.2611,1
0.1776,0.2247,0
0.4608,0.3681,0
0.7234,0.1743,0
0.4919,0.7681,1
0.5615,0.5837,1
0.7554,0.3149,1
0.9681,0.9043,1
0.3912,0.8981,1
0.6518,0.4348,1
0.0519,0.0706,0
0.893,0.645,1
0.8883,0.8383,1
0.9921,0.9037,1
0.3838,0.6201,0
0.3432,0.425,0
0.7082,0.0059,0
0.6149,0.9701,1
0.85,0.5307,1
0.9431,0.3407,1
0.9841,0.5919,1
0.9026,0.8913,1
0.0314,0.4535,0
0.0868,0.6942,0
0.3603,0.9149,1
0.1096,0.1114,0
0.3994,0.2234,0
0.7379,0.4882,1
0.8732,0.7983,1
0.326,0.4411,0
0.9042,0.1696,1
0.6483,0.8831,1
0.4174,0.0287,0
0.8296,0.3588,1
0.9895,0.8642,1
0.379,0.7352,1
0.4854,0.656,1
0.6168,0.4961,1
0.4079,0.0984,0
0.6245,0.2629,0
0.6069,0.4641,1
0.8053,0.5119,1
0.5908,0.5965,1
0.2729,0.4706,0
0.4646,0.4137,0
0.4324,0.5132,0
0.3592,0.1568,0
0.9115,0.2424,1
0.3469,0.1957,0
0.538,0.7,1
0.2058,0.5475,0
0.498,0.1014,0
0.1634,0.3475,0
0.5222,0.8838,1
0.7146,0.1156,0
0.2973,0.8697,1
0.5925,0.715,1
0.8441,0.1677,0
0.9016,0.8828,1
0.7797,0.0773,0
0.2187,0.7031,0
0.6334,0.6695,1
0.7127,0.6881,1
0.0033,0.9886,0
0.6036,0.0603,0
0.9422,0.6216,1
0.0871,0.4868,0
0.2256,0.3047,0
0.9216,0.146,1
0.2008,0.9555,1
0.3035,0.9605,1
0.6793,0.8738,1
0.2151,0.7501,0
0.4578,0.3799,0
0.517,0.6179,1
0.4263,0.7104,1
0.4905,0.0583,0
0.1876,0.565,0
0.1048,0.545,0
0.9408,0.9739,1
0.1288,0.1183,0
0.3344,0.6346,0
0.8049,0.1474,0
0.1411,0.2144,0
0.5442,0.0345,0
0.8691,0.7741,1
0.9423,0.2577,1
0.4582,0.7857,1
0.2631,0.6097,0
0.1842,0.0296,0
0.6978,0.9097,1
0.1239,0.374,0
0.1513,0.414,0
0.702,0.9246,1
0.4011,0.4564,0
0.2492,0.9677,1
0.2943,0.1975,0
0.5329,0.7854,1
0.1635,0.8383,0
0.0192,0.7717,0
0.0013,0.3865,0
0.5005,0.9483,1
0.9175,0.5404,1
0.9459,0.547,1
0.3433,0.2968,0
0.5423,0.7491,1
0.3496,0.1182,0
0.5031,0.1653,0
0.0896,0.9915,1
0.2772,0.0673,0
0.3785,0.7584,1
0.7846,0.4326,1
0.1459,0.1415,0
0.3928,0.0501,0
0.9282,0.9658,1
0.2489,0.2284,0
0.7319,0.3871,1
0.3067,0.148,0
0.4729,0.5812,1
0.6585,0.4328,1
0.6837,0.103,0
0.4373,0.0051,0
0.0235,0.3944,0
0.4108,0.881,1
0.8403,0.293,1
0.9163,0.6875,1
0.58,0.7382,1
0.8416,0.9036,1
0.3567,0.7209,1
0.8515,0.6439,1
0.8911,0.6774,1
0.6282,0.7319,1
0.3992,0.8986,1
0.251,0.9338,1
0.9963,0.4411,1
0.6373,0.3511,0
0.7544,0.9309,1
0.8798,0.954,1
0.4632,0.0686,0
0.2745,0.3418,0
0.474,0.0138,0
0.0299,0.3961,0
0.2285,0.6051,0
0.5404,0.1461,0
0.3996,0.4062,0
0.7555,0.0755,0
0.832,0.6157,1
0.56,0.3324,0
0.5657,0.0851,0
0.5985,0.7512,1
0.566,0.7467,1
0.4777,0.2314,0
0.3408,0.3146,0
0.8117,0.1618,0
0.7981,0.0423,0
0.2822,0.5538,0
0.2122,0.6716,0
0.2505,0.9876,1
0.2135,0.8987,1
0.5536,0.1485,0
0.5257,0.0884,0
0.3048,0.3526,0
0.8338,0.8507,1
0.0796,0.7033,0
0.4009,0.1631,0
0.9,0.1979,1
0.8747,0.9375,1
0.2252,0.2624,0
0.2343,0.0408,0
0.9331,0.6488,1
0.6505,0.3867,1
0.2804,0.7045,0
0.1178,0.0692,0
0.7085,0.931,1
0.5764,0.2549,0
0.1277,0.6725,0
0.1649,0.2524,0
0.7219,0.9445,1
0.0278,0.3263,0
0.2661,0.9368,1
0.9616,0.2615,1
0.0246,0.8423,0
0.7957,0.6506,1
0.7842,0.6345,1
0.0972,0.2982,0
0.7144,0.6532,1
0.0465,0.9792,1
0.0622,0.7013,0
0.7892,0.3539,1
0.7755,0.7403,1
0.9874,0.2951,1
0.9451,0.4701,1
0.7329,0.7585,1
0.9579,0.5407,1
0.1298,0.8081,0
0.6683,0.1508,0
0.3801,0.2008,0
0.539,0.7643,1
0.9373,0.2972,1
0.8939,0.4973,1
0.2247,0.6301,0
0.0876,0.4242,0
0.2154,0.1936,0
0.6808,0.0683,0
0.4327,0.1086,0
0.4853,0.4384,0
0.7204,0.3887,1
0.3173,0.2519,0
0.8365,0.642,1
0.8195,0.6474,1
0.3031,0.6222,0
0.814,0.0302,0
0.0262,0.2488,0
0.8374,0.7131,1
0.4893,0.7335,1
0.1027,0.8884,0
0.5789,0.5389,1
0.1519,0.1916,0
0.9196,0.7725,1
0.727,0.6184,1
0.1458,0.9385,1
0.2078,0.4919,0
0.4921,0.3543,0
0.292,0.8142,1
0.6626,0.3212,0
0.1018,0.9762,1
0.7699,0.3783,1
0.2946,0.0927,0
0.1613,0.021,0
0.2564,0.5292,0
0.9706,0.0969,1
0.2041,0.9148,1
0.9053,0.7236,1
0.1613,0.458,0
0.4713,0.2709,0
0.9373,0.8314,1
0.1357,0.0574,0
0.7852,0.5553,1
0.6642,0.5948,1
0.7312,0.307,1
0.1758,0.366,0
0.3685,0.9937,1
0.7082,0.6172,1
0.4132,0.8167,1
0.2457,0.6009,0
0.8822,0.0542,0
0.6948,0.0595,0
0.6801,0.4343,1
0.031,0.6871,0
0.6467,0.6733,1
0.0563,0.3592,0
0.7379,0.4913,1
0.9845,0.173,1
0.7026,0.1119,0
0.7449,0.5743,1
0.5794,0.3715,0
0.9489,0.3574,1
0.0949,0.0954,0
0.9151,0.985,1
0.4899,0.4232,0
0.3332,0.7656,1
0.8583,0.7453,1
0.0263,0.8662,0
0.2148,0.8094,1
0.4847,0.5216,0
0.8988,0.2562,1
0.7233,0.8831,1
0.8696,0.8479,1
0.407,0.0208,0
0.0948,0.06,0
0.0294,0.6893,0
0.5141,0.2607,0
0.5007,0.0209,0
0.7874,0.5917,1
0.8164,0.0396,0
0.7303,0.1027,0
0.771,0.3612,1
0.3326,0.0079,0
0.5877,0.4647,1
0.8056,0.1168,0
0.1623,0.7185,0
0.5957,0.6676,1
0.9472,0.5592,1
0.4359,0.5672,0
0.2612,0.4666,0
0.9341,0.3708,1
0.1784,0.035,0
0.9925,0.8648,1
0.7219,0.9607,1
0.5295,0.91,1
0.2805,0.7552,1
0.1255,0.2858,0
0.1326,0.3299,0
0.7465,0.4708,1
0.3416,0.5692,0
0.3711,0.6027,0
0.4092,0.2381,0
0.8336,0.5764,1
0.6188,0.3684,0
0.1709,0.2716,0
0.0901,0.9855,1
0.2448,0.6479,0
0.0899,0.391,0
0.1771,0.1159,0
0.1832,0.3084,0
0.2961,0.0414,0
0.6283,0.3802,0
0.7637,0.7237,1
0.5128,0.777,1
0.6847,0.1005,0
0.3083,0.9199,1
0.2922,0.6872,0
0.3836,0.1145,0
0.3071,0.7588,1
0.4124,0.7469,1
0.4507,0.8177,1
0.2313,0.5999,0
0.9183,0.5679,1
0.8209,0.8247,1
0.9516,0.9658,1
0.8295,0.048,0
0.2357,0.1619,0
0.6027,0.8306,1
0.5406,0.0105,0
0.7794,0.6576,1
0.877,0.8531,1
0.3678,0.3695,0
0.8168,0.7217,1
0.7102,0.3871,1
0.6966,0.931,1
0.2367,0.4721,0
0.1356,0.5245,0
0.2952,0.0355,0
0.1267,0.2217,0
0.385,0.8082,1
0.9646,0.1107,1
0.2266,0.4407,0
0.2825,0.6765,0
0.7257,0.4604,1
0.1452,0.0204,0
0.8454,0.6905,1
0.7651,0.2272,0
0.8106,0.2177,1
0.8996,0.0801,0
0.8861,0.5405,1
0.0156,0.5941,0
0.5558,0.0744,0
0.7786,0.1822,0
0.0793,0.4126,0
0.2421,0.1678,0
0.4554,0.8824,1
0.4652,0.9105,1
0.8892,0.4307,1
0.2694,0.1308,0
0.1249,0.5069,0
0.2364,0.7958,1
0.257,0.5993,0
0.0795,0.6804,0
0.6701,0.4668,1
0.5248,0.712,1
0.6839,0.2892,0
0.4915,0.0285,0
0.2824,0.4988,0
0.5241,0.1953,0
0.9248,0.9638,1
0.753,0.7631,1
0.4969,0.6128,1
0.8924,0.3863,1
0.9166,0.9114,1
0.455,0.5359,0
0.3263,0.7496,1
0.3368,0.4079,0
0.2566,0.3411,0
0.235,0.7469,0
0.36,0.805,1
0.2834,0.394,0
0.9857,0.7751,1
0.4921,0.5078,0
0.6908,0.3943,1
0.1544,0.3828,0
0.4433,0.8834,1
0.1605,0.7304,0
0.4014,0.7662,1
0.5967,0.4891,1
0.8448,0.4078,1
0.909,0.8742,1
0.1442,0.2476,0
0.5603,0.017,0
0.3883,0.0974,0
0.3026,0.8084,1
0.7493,0.9816,1
0.9754,0.4955,1
0.3565,0.4295,0
0.5058,0.6961,1
0.7955,0.2185,0
0.6879,0.0763,0
0.2624,0.4607,0
0.6264,0.3842,0
0.2863,0.241,0
0.1308,0.7604,0
0.7598,0.9651,1
0.6412,0.0949,0
0.5161,0.7798,1
0.697,0.1886,0
0.4426,0.0095,0
0.176,0.4101,0
0.9538,0.1413,1
0.0215,0.5328,0
0.5728,0.5578,1
0.9954,0.6934,1
0.1678,0.8764,1
0.5053,0.0196,0
0.4094,0.6866,1
0.9382,0.9864,1
0.4916,0.9858,1
0.7027,0.4561,1
0.3637,0.348,0
0.3497,0.9829,1
0.9365,0.4859,1
0.7245,0.3151,1
0.8289,0.3814,1
0.4884,0.018,0
0.5677,0.5036,1
0.7292,0.127,0
0.6671,0.3052,0
0.2492,0.2561,0
0.3001,0.0023,0
0.4802,0.7727,1
0.9577,0.6618,1
0.6464,0.398,1
0.6806,0.5011,1
0.9424,0.6126,1
0.998,0.1331,1
0.4178,0.2834,0
0.7658,0.8374,1
0.4472,0.8659,1
0.674,0.0548,0
0.0945,0.4932,0
0.6855,0.8301,1
0.2846,0.9185,1
0.2344,0.8012,1
0.2592,0.9788,1
0.9694,0.5715,1
0.7858,0.0638,0
0.7061,0.0864,0
0.9823,0.9768,1
0.6912,0.4487,1
0.2044,0.8942,1
0.5137,0.9112,1
0.4717,0.9614,1
0.4693,0.7781,1
0.9482,0.9481,1
0.5935,0.6791,1
0.1604,0.7142,0
0.9662,0.1376,1
0.6048,0.0828,0
0.7751,0.1122,0
0.5844,0.3692,0
0.6936,0.9654,1
0.8283,0.3624,1
0.219,0.9304,1
0.25,0.096,0
0.5936,0.1219,0
0.1686,0.4886,0
0.6625,0.9225,1
0.7314,0.1348,0
0.1419,0.1444,0
0.4208,0.3333,0
0.2132,0.455,0
0.2817,0.0084,0
0.6853,0.4083,1
0.7627,0.1809,0
0.355,0.8734,1
0.5977,0.5489,1
0.172,0.8613,1
0.2483,0.0531,0
0.0526,0.511,0
0.1665,0.1458,0
0.7942,0.4387,1
0.0624,0.4553,0
0.0944,0.3181,0
0.434,0.9255,1
0.0118,0.7215,0
0.1719,0.6366,0
0.9814,0.9458,1
0.5435,0.7303,1
0.9154,0.5219,1
0.9734,0.6472,1
0.1225,0.736,0
0.0055,0.871,0
0.0142,0.8671,0
0.9731,0.2289,1
0.3602,0.301,0
0.4444,0.4099,0
0.4315,0.1923,0
0.2052,0.1946,0
0.4706,0.1496,0
0.6912,0.8552,1
0.4463,0.9307,1
0.4175,0.7796,1
0.2303,0.1583,0
0.8604,0.7292,1
0.94,0.1935,1
0.3164,0.4582,0
0.9706,0.8554,1
0.8882,0.1318,0
0.8221,0.6139,1
0.6446,0.6384,1
0.835,0.752,1
0.0474,0.2567,0
0.5914,0.5487,1
0.9924,0.938,1
0.2564,0.9501,1
0.1062,0.6055,0
0.2428,0.8106,1
0.3228,0.3151,0
0.5581,0.2721,0
0.2963,0.4287,0
0.7087,0.7473,1
0.4358,0.465,0
0.8462,0.9837,1
0.2491,0.8487,1
0.821,0.3219,1
0.8257,0.1786,0
0.2551,0.8552,1
0.7336,0.8604,1
0.6638,0.105,0
0.7859,0.7605,1
0.7538,0.1391,0
0.9973,0.6071,1
0.7704,0.7927,1
0.8812,0.2118,1
